StockCode,description,unit_price
10002,INFLATABLE POLITICAL GLOBE ,0.85
10080,GROOVY CACTUS INFLATABLE,0.39
10109,BENDY COLOUR PENCILS,0.42
10120,DOGGY RUBBER,0.21
10125,MINI FUNKY DESIGN TAPES,0.85
10133,COLOURING PENCILS BROWN TUBE,0.83
10134,COLOURING PENCILS BROWN TUBE,1.25
10135,COLOURING PENCILS BROWN TUBE,1.25
10138,ASSORTED COLOUR JUMBO PEN,0.42
11001,ASSTD DESIGN RACING CAR PEN,1.69
15030,FAN BLACK FRAME ,0.29
15034,PAPER POCKET TRAVELING FAN ,0.14
15036,ASSORTED COLOURS SILK FAN,0.83
15039,SANDALWOOD FAN,0.85
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.12
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.12
16011, ANIMAL STICKERS,0.21
16012,FOOD/DRINK SPUNGE STICKERS,0.21
16014,SMALL CHINESE STYLE SCISSOR,0.42
16015,MEDIUM CHINESE STYLE SCISSOR,0.5
16016,LARGE CHINESE STYLE SCISSOR,0.85
16033,MINI HIGHLIGHTER PENS,0.12
16043,POP ART PUSH DOWN RUBBER ,0.42
16044,POP-ART FLUORESCENT PENS,0.42
16045,POPART WOODEN PENCILS ASST,0.04
16046,TEATIME PEN CASE & PENS,0.85
16047,POP ART PEN CASE & PENS,0.85
16048,TEATIME ROUND PENCIL SHARPENER ,0.12
16049,TEATIME GEL PENS ASST,0.42
16050,TEATIME PENCIL WITH RUBBER,0.4
16051,TEATIME PENCIL W STAMP ASST,0.42
16052,TEATIME PUSH DOWN RUBBER,0.42
16053,POPART COL BALLPOINT PEN ASST,0.21
16054,POPART RECT PENCIL SHARPENER ASST,0.12
16119,FUNKY GIRL ADDRESS BOOK,1.25
16192,PINK BALLET OPENING CUBE BOX ,4.3
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,0.65
16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,0.65
16216,LETTER SHAPE PENCIL SHARPENER,0.16
16218,CARTOON  PENCIL SHARPENERS,0.16
16219,HOUSE SHAPE PENCIL SHARPENER,0.21
16225,RATTLE SNAKE EGGS,1.25
16235,RECYCLED PENCIL WITH RABBIT ERASER,0.21
16236,KITTY PENCIL ERASERS,0.21
16237,SLEEPING CAT ERASERS,0.21
16238,PARTY TIME PENCIL ERASERS,0.21
16239,BALLERINA HEART DECORATION.,2.95
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1.63
16259,PIECE OF CAMO STATIONERY SET,0.21
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.29
17003,BROCADE RING PURSE ,0.29
17021,NAMASTE SWAGAT INCENSE,0.3
17033,"BROCADE PURSE,SMALL ARCH BUTTON",0.29
17038,PORCELAIN BUDAH INCENSE HOLDER,0.1
17039,INLAID WOOD INCENSE HOLDER,0.29
17061,ASSORTED SHAPED STENCIL FOR HENNA,0.04
17096,ASSORTED LAQUERED INCENSE HOLDERS,0.42
17174,ASSTD RASTA KEY-CHAINS,0.42
17178,FLAT PALM T-LIGHT HOLDER,1.25
17181,CIRCLE OF FRIENDS CANDLE HOLDER,5.06
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,0.18
18010,ASSORTED FRAGRANCE BATH CONFETTI,0.42
20615,BLUE SPOTTY PASSPORT COVER,2.1
20616,CHERRY BLOSSOM PASSPORT COVER,1.66
20617,FIRST CLASS PASSPORT COVER ,2.1
20618,QUEEN OF THE SKIES PASSPORT COVER ,2.1
20619,TROPICAL PASSPORT COVER ,2.1
20620,RED SPOTTY PASSPORT COVER,4.255
20621,ECONOMY PASSPORT COVER ,2.1
20622,VIPPASSPORT COVER ,2.1
20652,BLUE SPOTTY LUGGAGE TAG ,1.25
20653,CHERRY BLOSSOM LUGGAGE TAG,1.25
20654,FIRST CLASS LUGGAGE TAG ,1.25
20655,QUEEN OF SKIES LUGGAGE TAG,1.25
20657,TROPICAL LUGGAGE TAG,1.25
20658,RED SPOTTY LUGGAGE TAG,1.25
20659,ECONOMY LUGGAGE TAG,1.25
20660,VIP LUGGAGE TAG ,1.25
20661,BLUE SPOTTY PURSE ,2.51
20662,FIRST CLASS HOLIDAY PURSE ,2.51
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,2.51
20664,TROPICAL HOLIDAY PURSE ,2.95
20665,RED SPOTTY PURSE ,2.95
20666,ECONOMY HOLIDAY PURSE,2.51
20667,CHERRY BLOSSOM PURSE,2.46
20668,DISCO BALL CHRISTMAS DECORATION,0.12
20669,RED HEART LUGGAGE TAG,1.25
20670,VIP HOLIDAY PURSE,2.51
20671,BLUE TEATIME PRINT BOWL ,1.25
20672,PINK TEATIME PRINT BOWL,1.25
20673,STRAWBERRIES PRINT BOWL,1.25
20674,GREEN SPOTTY BOWL,1.25
20675,BLUE SPOTTY BOWL,1.25
20676,RED SPOTTY BOWL,1.25
20677,PINK SPOTTY BOWL,1.25
20678,LARGE BLACK DIAMANTE HAIRSLIDE,1.65
20679,EDWARDIAN PARASOL RED,5.95
20680,PINK FLOWERS CHILDS UMBRELLA,3.25
20681,PINK SPOTTY CHILDS UMBRELLA,3.25
20682,RED SPOTTY CHILDS UMBRELLA,3.25
20683,RAIN GIRL CHILDS UMBRELLA,3.25
20684,STRAWBERRY DREAM CHILDS UMBRELLA,3.25
20685,RED SPOTTY COIR DOORMAT,7.95
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,3.25
20688,BEAUTY SPEED EXPRESSO CUPS,5.95
20689,RETRO SISTERS EXPRESSO CUPS,5.95
20692,FLORAL ELEPHANT SOFT TOY,4.25
20693,FLORAL DINOSAUR GREEN,4.25
20694,FLORAL PINK MONSTER,3.75
20695,FLORAL BLUE MONSTER,4.25
20696,FLORAL SOFT CAR TOY,3.75
20697,LITTLE GREEN MONSTER SOFT TOY,2.55
20698,LITTLE PINK MONSTER SOFT TOY,2.55
20699,MOUSEY LONG LEGS SOFT TOY,2.55
20700,GREEN CAT FLORAL CUSHION COVER ,4.13
20701,PINK CAT FLORAL CUSHION COVER ,4.13
20702,PINK PADDED MOBILE,4.25
20703,BLUE PADDED SOFT MOBILE,4.25
20704,MR ROBOT SOFT TOY,6.95
20705,MRS ROBOT SOFT TOY,6.95
20707,CRAZY DAISY HEART DECORATION,0.83
20711,JUMBO BAG TOYS ,2.015
20712,JUMBO BAG WOODLAND ANIMALS,2.08
20713,JUMBO BAG OWLS,1.95
20714,POSY SHOPPER BAG,0.87
20715,LITTLE FLOWER SHOPPER BAG,1.06
20716,PARTY FOOD SHOPPER BAG,1.25
20717,STRAWBERRY SHOPPER BAG,1.25
20718,RED SPOTTY SHOPPER BAG,1.25
20719,WOODLAND CHARLOTTE BAG,0.85
20721,OWLS CHARLOTTE BAG,0.85
20723,STRAWBERRY CHARLOTTE BAG,0.85
20724,RED SPOTTY CHARLOTTE BAG,0.85
20725,LUNCH BAG RED SPOTTY,1.65
20726,LUNCH BAG WOODLAND,1.65
20727,LUNCH BAG  BLACK SKULL.,1.65
20728,LUNCH BAG CARS BLUE,1.65
20729,RED SPOTTY CANDY BAG,1.25
20730,STRAWBERRY CANDY BAG,0.87
20731,POSY CANDY BAG,1.25
20733,GOLD MINI TAPE MEASURE ,0.85
20734,SILVER MINI TAPE MEASURE ,0.85
20735,BLACK MINI TAPE MEASURE ,0.85
20736,PINK MINI TAPE MEASURE ,0.85
20737,RED MINI TAPE MEASURE ,1.7
20738,GREEN MINI TAPE MEASURE ,0.85
20739,*USB Office Glitter Lamp,8.65
20747,PICCADILLY TEA SET,14.95
20748,KENSINGTON COFFEE SET,12.75
20749,ASSORTED COLOUR MINI CASES,7.95
20750, RED/WHITE DOT MINI CASES,7.95
20751,FUNKY WASHING UP GLOVES ASSORTED,2.1
20752,RETRO BLUE SPOTTY WASHING UP GLOVES,2.1
20753,RETRO PINK SPOT WASHING UP GLOVES,2.1
20754,RETRO RED SPOTTY WASHING UP GLOVES,2.1
20755,BLUE PAISLEY POCKET BOOK,0.85
20756,GREEN FERN POCKET BOOK,0.85
20757,RED DAISY POCKET BOOK ,0.85
20758,ABSTRACT CIRCLES POCKET BOOK,0.85
20759,CHRYSANTHEMUM POCKET BOOK ,0.85
20760,GARDEN PATH POCKET BOOK,0.85
20761,BLUE PAISLEY SKETCHBOOK,3.75
20762,GREEN FERN SKETCHBOOK ,3.75
20763,DAISY SKETCHBOOK ,3.75
20764,ABSTRACT CIRCLES SKETCHBOOK ,3.75
20765,CHRYSANTHEMUM SKETCHBOOK ,3.75
20766,GARDEN PATH SKETCHBOOK,3.75
20767,BLUE PAISLEY JOURNAL ,2.55
20768,GREEN FERN JOURNAL ,2.55
20769,DAISY JOURNAL ,2.55
20770,ABSTRACT CIRCLE JOURNAL ,2.55
20771,CHRYSANTHEMUM  JOURNAL,2.55
20772,GARDEN PATH JOURNAL,2.55
20773,BLUE PAISLEY NOTEBOOK,1.65
20774,GREEN FERN NOTEBOOK,1.65
20775,DAISY NOTEBOOK ,1.65
20776,ABSTRACT CIRCLES NOTEBOOK,1.65
20777,CHRYSANTHEMUM NOTEBOOK,1.65
20778,GARDEN PATH NOTEBOOK ,1.65
20780,BLACK EAR MUFF HEADPHONES,5.49
20781,GOLD EAR MUFF HEADPHONES,5.49
20782,CAMOUFLAGE EAR MUFF HEADPHONES,5.49
20783,HEART EAR MUFF HEADPHONES,5.49
20784,RED RETRO BAR STOOL,34.0
20785,FUSCHIA RETRO BAR STOOL,34.0
20786,BLACK RETRO BAR STOOL,34.0
20787,BLUE RETRO BAR STOOL,34.0
20791,BLUE TILED SET OF 3 DRAWERS,12.75
20793,BLUE TILED TRAY,6.75
20794,BLUE  TILE HOOK,2.55
20795,LARGE BLUE PROVENCAL CERAMIC BALL,2.1
20796,SMALL BLUE PROVENCAL CERAMIC BALL,1.65
20798,CLEAR MILKSHAKE GLASS,2.1
20799,PINK MILKSHAKE GLASS,3.1550000000000002
20800,LARGE GLASS SUNDAE DISH CLEAR,5.06
20801,LARGE PINK GLASS SUNDAE DISH,2.46
20802,SMALL GLASS SUNDAE DISH CLEAR,1.65
20803,SMALL PINK GLASS SUNDAE DISH,1.65
20804,GLASS CHICKEN BUTTER DISH,3.36
20812,EMBOSSED FLOWER TRELLIS PHOTO FRAME,2.55
20814,SILVER FINCH DECORATION,1.25
20816,GOLD FLOWER CUSHION COVER ,6.75
20818,GOLD TEDDY BEAR,3.75
20819,SILVER TEDDY BEAR,3.75
20820,SILVER LOOKING MIRROR,4.95
20821,GOLDIE LOOKING MIRROR,10.17
20822,SILVER WINE GOBLET,4.65
20823,GOLD WINE GOBLET,4.25
20825,GOLD WINE GLASS,3.75
20826,SILVER APERITIF GLASS,1.905
20827,GOLD APERITIF GLASS,2.12
20828,GLITTER BUTTERFLY CLIPS,2.55
20829,GLITTER HANGING BUTTERFLY STRING,2.1
20830,SILVER PHOTO FRAME,2.1
20831,GOLD PHOTO FRAME,2.1
20832,RED FLOCK LOVE HEART PHOTO FRAME,0.85
20833,SHAKER THROW  QUILTED,12.75
20835,FRENCH LATTICE CUSHION COVER ,0.83
20836,FRENCH PAISLEY CUSHION COVER,0.83
20837,FRENCH FLORAL CUSHION COVER ,0.83
20838,FRENCH LATTICE CUSHION COVER ,0.85
20839,FRENCH PAISLEY CUSHION COVER ,2.95
20840,FRENCH FLORAL CUSHION COVER ,2.55
20845,ZINC HEART LATTICE 2 WALL PLANTER,6.35
20846,ZINC HEART LATTICE T-LIGHT HOLDER,1.25
20847,ZINC HEART LATTICE CHARGER LARGE,3.75
20848,ZINC HEART LATTICE CHARGER SMALL,2.95
20849,ZINC HEART LATTICE DOUBLE PLANTER,3.75
20850,ZINC HEART LATTICE PLANTER BOWL,2.95
20851,ZINC HEART LATTICE TRAY OVAL ,5.95
20854,BLUE PATCH PURSE PINK HEART,1.65
20855,PINK PATCH PURSE BLUE HEART,1.65
20856,DENIM PATCH PURSE PINK BUTTERFLY,1.65
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,1.65
20858,SILVER PURSE GOLD PINK BUTTERFLY,1.65
20860,GOLD COSMETICS BAG WITH BUTTERFLY,2.1
20861,GOLD COSMETIC BAG PINK STAR,2.1
20862,PINK PATCH PENCIL CASE BLUE HEART,2.1
20863,BLUE PATCH PENCIL CASE PINK HEART,2.1
20864,DENIM PATCH PENCIL CASE BUTTERFLY,2.1
20865,PATCHWORK PENCIL CASE BUTTERFLY ,2.1
20866,BLUE ROSE FABRIC MIRROR,1.25
20867,PINK ROSE FABRIC MIRROR,1.25
20868,SILVER FABRIC MIRROR,0.85
20869,GOLD FABRIC MIRROR,0.85
20870,OPULENT VELVET CANDLE IN BOX,2.1
20871,OPULENT VELVET SET/3 CANDLES,2.1
20877,MODERN CHRISTMAS BAUBLE CANDLE ,0.42
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,1.25
20879,TREE OF NOAH FESTIVE SCENTED CANDLE,0.65
20881,MODERN CHRISTMAS TREE CANDLE,0.85
20882,MODERN CHRISTMAS TREE CANDLE,2.95
20884,MODERN CHRISTMAS TREE CANDLE ,2.1
20885,BOX OF 3 PEBBLE CANDLES,2.95
20886,BOX OF 9 PEBBLE CANDLES,1.95
20887,BOX OF 6 PEBBLE CANDLES,5.615
20888,SET 3 JARDIN DE FEMME SCENT CANDLES,3.75
20889,JARDIN DE FEMME SCENTED CANDLE,2.95
20890,SMALL GLASS ROSE SCENTED CANDLE,2.025
20891,LARGE GLASS ROSE SCENTED CANDLE ,7.95
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,12.75
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,2.55
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,2.95
20895,VINTAGE NOTEBOOK FRENCH LETTER ,2.95
20896,VINTAGE NOTEBOOK PINK FLOWER,2.95
20897,VINTAGE NOTEBOOK PARIS DAYS,2.95
20898,VINTAGE NOTEBOOK TRAVELOGUE,2.95
20899,VINTAGE NOTEBOOK RED ROSE,2.95
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,12.72
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,12.72
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,6.35
20905,VINTAGE KEEPSAKE BOX BEAUTY GIRL,6.35
20906,VINTAGE NOTEBOOK BEAUTY GIRL,2.95
20910,VINTAGE PHOTO ALBUM PARIS DAYS,6.35
20913,SET/5 BLUE SPOTTY LID GLASS BOWLS,2.95
20914,SET/5 RED SPOTTY LID GLASS BOWLS,2.95
20931,BLUE POT PLANT CANDLE ,3.75
20932,PINK POT PLANT CANDLE,3.75
20933,YELLOW POT PLANT CANDLE,3.75
20934,SET/3 POT PLANT CANDLES,5.45
20935,ROUND CACTUS CANDLE,2.95
20936,FORKED CACTUS CANDLE,2.95
20939,ORANGE CANDLE,0.85
20940,SET/6 GARDEN GNOME T-LIGHT CANDLES,2.95
20941,FROG CANDLE,1.25
20942,SET/6 GINGERBREAD TREE T-LIGHTS,1.25
20943,SET/6 GINGERBREAD STAR T-LIGHTS,1.25
20950,SET/6  ANGEL T-LIGHTS WHITE/GOLD,0.42
20952,PORCELAIN CHERUB BELL SMALL,0.42
20953,PORCELAIN CHERUB BELL LARGE,1.65
20954,*USB Office Mirror Ball,8.47
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,1.25
20957,PORCELAIN HANGING BELL SMALL,1.45
20958,PORCELAIN HANGING BELL LARGE,1.95
20960,WATERMELON BATH SPONGE,1.25
20961,STRAWBERRY BATH SPONGE ,1.25
20963,APPLE BATH SPONGE,1.25
20964,POLYESTER FILLER PAD 60x40cm,2.55
20966,SANDWICH BATH SPONGE,1.25
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,3.75
